country,average_monthly_cost_$,average_yearly_temperature,internet_speed_mbps,safety_index,Healthcare Index
syria,0.061583708008805124,0.7605177993527508,0.0,0.19325153374233123,0.21984967543559958
tanzania,0.11749038107769345,0.86084142394822,0.04448991522946506,0.4171779141104294,0.3057738298599249
thailand,0.1168826377153215,0.9288025889967636,0.6874598070739549,0.665644171779141,0.9074137341988384
trinidad & tobago,0.1903494303477778,0.8058252427184466,0.3544869921075709,0.1503067484662577,0.5099077553809361
tunisia,0.017377644368465076,0.750809061488673,0.027974276527331195,0.5460122699386503,0.5625213529210797
uganda,0.07666374617269787,0.8349514563106796,0.06644256065477931,0.4079754601226993,0.4408951144516569
ukraine,0.06556725784001573,0.43042071197411,0.23750365390236775,0.5168711656441718,0.5380936112060131
united arab emirates,0.8180994755582716,0.9902912621359223,0.9071031862028647,1.0,0.7924496071062521
united kingdom,0.4712544503068724,0.38187702265372164,0.38710903244665307,0.4969325153374234,0.8315681585240862
united states,0.6487057034922815,0.22330097087378636,0.8088278281204326,0.48312883435582815,0.7451315339938502
uruguay,0.21262456270539593,0.44336569579288027,0.4412160187079801,0.44018404907975456,0.7572599931670652
uzbekistan,0.0595515742605746,0.6375404530744335,0.22961122478807366,0.8098159509202454,0.6419542193372052
venezuela,0.10801285848803639,0.7055016181229773,0.2358374744226834,0.0,0.2468397676802186
vietnam,0.09734183082752872,0.7766990291262135,0.4722011107863199,0.6119631901840492,0.6334130509053637
